0,Suburb,id,,
,,0,,
Abbotsford,Done,,,
Aberfeldie,Done,,,
Airport West,Done,,,
Albert Park,Done,,,
Alfredton,Done,,,
Altona,Done,,,
Altona Meadows,Done,,,
Altona North,Done,,,
Ararat,Done,,,
Armadale,Done,,,
Armstrong Creek,Done,,,
Ascot,Done,,,
Ascot Vale,Done,,,
Aspendale,Done,,,
Bacchus Marsh,,,,avondale-heights-vic-3034
Badger Creek,,,,bacchus-marsh-vic-3340
Bairnsdale,,,,badger-creek-vic-3777
Ballan,,,,bairnsdale-vic-3875
Ballarat Central,,,,ballan-vic-3342
Ballarat East,,,,ballarat-central-vic-3350
Ballarat North,,,,ballarat-east-vic-3350
Balnarring,,,,ballarat-north-vic-3350
Balwyn North,,,,balnarring-vic-3926
Barwon Heads,,,,balwyn-north-vic-3104
Bayswater,,,,barwon-heads-vic-3227
Bayswater North,,,,bayswater-vic-3153
Beaconsfield,,,,bayswater-north-vic-3153
Belgrave,,,,beaconsfield-vic-3807
Bell Park,,,,belgrave-vic-3160
Bell Post Hill,,,,bell-park-vic-3215
Bellfield,,,,bell-post-hill-vic-3215
Belmont,,,,bellfield-vic-3381
Bendigo,,,,belmont-vic-3216
Bentleigh,,,,bendigo-vic-3550
Bentleigh East,,,,bentleigh-vic-3204
Berwick,,,,bentleigh-east-vic-3165
Beveridge,,,,berwick-vic-3806
Bittern,,,,beveridge-vic-3753
Black Hill,,,,bittern-vic-3918
Blairgowrie,,,,black-hill-vic-3350
Bonbeach,,,,blairgowrie-vic-3942
Boronia,,,,bonbeach-vic-3196
Botanic Ridge,,,,boronia-vic-3155
Braybrook,,,,botanic-ridge-vic-3977
Bridgewater On Loddon,,,,braybrook-vic-3019
Brighton,,,,bridgewater-on-loddon-vic-3516
Brighton East,,,,brighton-vic-3186
Broadmeadows,,,,brighton-east-vic-3187
Brookfield,,,,broadmeadows-vic-3047
Brooklyn,,,,brookfield-vic-3338
Broomfield,,,,brooklyn-vic-3012
Brown Hill,,,,broomfield-vic-3364
Brunswick,,,,brown-hill-vic-3350
Brunswick East,,,,brunswick-vic-3056
Brunswick West,,,,brunswick-east-vic-3057
Bruthen,,,,brunswick-west-vic-3055
Bulleen,,,,bruthen-vic-3885
Bundoora,,,,bulleen-vic-3105
Camberwell,Done,,,bundoora-vic-3083
Campbells Creek,Done,,,burnside-heights-vic-3023
Canadian,Done,,,
Cape Paterson,Done,,,
Capel Sound,,,,
Carnegie,,,,
Caroline Springs,,,,
Carrum Downs,,,,carnegie-vic-3163
Charlemont,,,,caroline-springs-vic-3023
Chelsea,,,,carrum-downs-vic-3201
Cheltenham,,,,charlemont-vic-3217
Chewton,,,,chelsea-vic-3196
Chiltern,,,,cheltenham-vic-3192
Chirnside Park,,,,chewton-vic-3451
Churchill,,,,chiltern-vic-3683
Clayton,,,,chirnside-park-vic-3116
Clayton South,,,,churchill-vic-3842
Clifton Hill,,,,clayton-vic-3168
Clifton Springs,,,,clayton-south-vic-3169
Clunes,,,,clifton-hill-vic-3068
Clyde,,,,clifton-springs-vic-3222
Clyde North,,,,clunes-vic-3370
Cobram,,,,clyde-vic-3978
Coburg,,,,clyde-north-vic-3978
Cockatoo,,,,cobram-vic-3644
Collingwood,,,,coburg-vic-3058
Connewarre,,,,cockatoo-vic-3781
Corinella,,,,collingwood-vic-3066
Corio,,,,connewarre-vic-3227
Coronet Bay,,,,corinella-vic-3984
Corryong,,,,corio-vic-3214
